title,body
Richiesta costo shopper personalizzate,Vorremmo conoscere il prezzo per la realizzazione di 300 shopper in cotone con il nostro marchio stampato su un lato.
Fattura relativa alla commessa,Abbiamo bisogno di una copia della fattura associata all'ultima fornitura di materiale personalizzato.
Blocco durante la stampa,La macchina si arresta a metà lavorazione e non consente di completare la stampa sui prodotti inseriti.
Preventivo per materiale promozionale,Siamo interessati a ricevere una quotazione per 500 portachiavi personalizzati da utilizzare durante un evento.
Verifica pagamento effettuato,Vorremmo verificare se il pagamento relativo alla precedente fornitura risulta correttamente registrato.
Colori non conformi alla lavorazione,Durante la produzione abbiamo notato che i colori impressi sui prodotti risultano differenti rispetto al campione approvato.
Informazioni su ordine di t-shirt,Desideriamo sapere se è possibile ordinare 150 magliette personalizzate con un logo differente per ciascuna taglia.
Documento contabile mancante,Non troviamo il documento fiscale relativo alla commessa conclusa la scorsa settimana e chiediamo un nuovo invio.
Macchinario non disponibile,L'apparecchiatura utilizzata per la personalizzazione non si avvia e la produzione programmata è momentaneamente ferma.
Richiesta offerta per agende,Stiamo valutando la realizzazione di 200 agende aziendali con copertina personalizzata e vorremmo ricevere un'offerta.
Chiarimento su importo fattura,L'importo indicato nell'ultima fattura non coincide con quello riportato nel nostro riepilogo e chiediamo una verifica.
Problema con il logo stampato,Il logo appare spostato rispetto alla posizione prevista e il difetto si presenta su diversi articoli della stessa lavorazione.
Disponibilità per nuova fornitura,Vorremmo sapere quali sono i tempi previsti per una nuova produzione di cappellini con personalizzazione frontale.
Richiesta ricevuta del pagamento,Avremmo bisogno della documentazione che confermi la registrazione del pagamento relativo all'ordine precedente.
Produzione interrotta,La linea di personalizzazione si è fermata improvvisamente durante una lavorazione urgente e non è possibile riprendere il ciclo.
