title,body,testo,categoria_pred,priorita_pred
Richiesta costo shopper personalizzate,Vorremmo conoscere il prezzo per la realizzazione di 300 shopper in cotone con il nostro marchio stampato su un lato.,Richiesta costo shopper personalizzate Vorremmo conoscere il prezzo per la realizzazione di 300 shopper in cotone con il nostro marchio stampato su un lato.,Amministrazione,media
Fattura relativa alla commessa,Abbiamo bisogno di una copia della fattura associata all'ultima fornitura di materiale personalizzato.,Fattura relativa alla commessa Abbiamo bisogno di una copia della fattura associata all'ultima fornitura di materiale personalizzato.,Amministrazione,media
Blocco durante la stampa,La macchina si arresta a metà lavorazione e non consente di completare la stampa sui prodotti inseriti.,Blocco durante la stampa La macchina si arresta a metà lavorazione e non consente di completare la stampa sui prodotti inseriti.,Tecnico,media
Preventivo per materiale promozionale,Siamo interessati a ricevere una quotazione per 500 portachiavi personalizzati da utilizzare durante un evento.,Preventivo per materiale promozionale Siamo interessati a ricevere una quotazione per 500 portachiavi personalizzati da utilizzare durante un evento.,Commerciale,media
Verifica pagamento effettuato,Vorremmo verificare se il pagamento relativo alla precedente fornitura risulta correttamente registrato.,Verifica pagamento effettuato Vorremmo verificare se il pagamento relativo alla precedente fornitura risulta correttamente registrato.,Amministrazione,media
Colori non conformi alla lavorazione,Durante la produzione abbiamo notato che i colori impressi sui prodotti risultano differenti rispetto al campione approvato.,Colori non conformi alla lavorazione Durante la produzione abbiamo notato che i colori impressi sui prodotti risultano differenti rispetto al campione approvato.,Tecnico,media
Informazioni su ordine di t-shirt,Desideriamo sapere se è possibile ordinare 150 magliette personalizzate con un logo differente per ciascuna taglia.,Informazioni su ordine di t-shirt Desideriamo sapere se è possibile ordinare 150 magliette personalizzate con un logo differente per ciascuna taglia.,Commerciale,bassa
Documento contabile mancante,Non troviamo il documento fiscale relativo alla commessa conclusa la scorsa settimana e chiediamo un nuovo invio.,Documento contabile mancante Non troviamo il documento fiscale relativo alla commessa conclusa la scorsa settimana e chiediamo un nuovo invio.,Amministrazione,media
Macchinario non disponibile,L'apparecchiatura utilizzata per la personalizzazione non si avvia e la produzione programmata è momentaneamente ferma.,Macchinario non disponibile L'apparecchiatura utilizzata per la personalizzazione non si avvia e la produzione programmata è momentaneamente ferma.,Tecnico,media
Richiesta offerta per agende,Stiamo valutando la realizzazione di 200 agende aziendali con copertina personalizzata e vorremmo ricevere un'offerta.,Richiesta offerta per agende Stiamo valutando la realizzazione di 200 agende aziendali con copertina personalizzata e vorremmo ricevere un'offerta.,Commerciale,media
Chiarimento su importo fattura,L'importo indicato nell'ultima fattura non coincide con quello riportato nel nostro riepilogo e chiediamo una verifica.,Chiarimento su importo fattura L'importo indicato nell'ultima fattura non coincide con quello riportato nel nostro riepilogo e chiediamo una verifica.,Amministrazione,media
Problema con il logo stampato,Il logo appare spostato rispetto alla posizione prevista e il difetto si presenta su diversi articoli della stessa lavorazione.,Problema con il logo stampato Il logo appare spostato rispetto alla posizione prevista e il difetto si presenta su diversi articoli della stessa lavorazione.,Tecnico,media
Disponibilità per nuova fornitura,Vorremmo sapere quali sono i tempi previsti per una nuova produzione di cappellini con personalizzazione frontale.,Disponibilità per nuova fornitura Vorremmo sapere quali sono i tempi previsti per una nuova produzione di cappellini con personalizzazione frontale.,Commerciale,bassa
Richiesta ricevuta del pagamento,Avremmo bisogno della documentazione che confermi la registrazione del pagamento relativo all'ordine precedente.,Richiesta ricevuta del pagamento Avremmo bisogno della documentazione che confermi la registrazione del pagamento relativo all'ordine precedente.,Amministrazione,media
Produzione interrotta,La linea di personalizzazione si è fermata improvvisamente durante una lavorazione urgente e non è possibile riprendere il ciclo.,Produzione interrotta La linea di personalizzazione si è fermata improvvisamente durante una lavorazione urgente e non è possibile riprendere il ciclo.,Tecnico,media
