id,title,body,category,priority
9jz7d8cx,Richiesta fattura per mese corrente,Potete controllare se la fattura l'importo convenuto è stata emessa?,Amministrazione,media
9i4kvj15,Disponibilità articolo portachiavi promozionali,Abbiamo ricevuto una richiesta per prodotti destinati a una nuova campagna promozionale; potete verificare la disponibilità?,Commerciale,media
mm6n1bbq,Comportamento anomalo durante scheda prodotto,"Durante la gestione di alcuni articoli destinati alla produzione, il gestionale restituisce un risultato diverso da quello previsto e impedisce di completare correttamente l'operazione.",Tecnico,alta
48piifv6,Documentazione amministrativa trimestre chiuso,Vorrei ricevere un riepilogo della situazione contabile della transazione del 15/10.,Amministrazione,bassa
9pakh938,Pagamento mese corrente in sospeso,La disposizione effettuata per l'importo convenuto non presenta ancora un esito.,Amministrazione,alta
u6629bo1,Sollecito per canone mensile,"Chiediamo un aggiornamento su l'accordo commerciale, che risulta ancora in arretrato.",Amministrazione,alta
0grb33tr,Documentazione amministrativa licenza software,Chiedo l'invio della documentazione fiscale collegata a l'accordo commerciale.,Amministrazione,bassa
djz5tc9w,Pagamento periodo fiscale in sospeso,Vorrei sapere con urgenza a che punto è il trasferimento dei fondi per la rendiconto n. 567.,Amministrazione,alta
3bpug3la,Comportamento anomalo durante importazione ordini,"Ho riscontrato un'anomalia mentre preparavo una serie di prodotti promozionali per la produzione, che impedisce di procedere regolarmente.",Tecnico,alta
uk3cy54p,Stato ordine t-shirt personalizzate,Vorrei avere un riscontro sull'avanzamento dell'ordine articoli promozionali per una campagna aziendale.,Commerciale,media
ig57al36,Pagamento licenza software in sospeso,"Vorrei verificare lo stato del pagamento non contabilizzato relativo alla fattura n. 567, che risulta ancora in elaborazione.",Amministrazione,media
6scmn991,Modifica richiesta di fornitura t-shirt personalizzate,È necessario rettificare alcune voci della richiesta riguardante materiale promozionale per una fiera per evitare problemi nell'evasione.,Commerciale,alta
u8f8fhro,Sincronizzazione caricamento file,Ho notato una differenza tra le informazioni di una commessa con più articoli e quelle presenti nel sistema centrale.,Tecnico,bassa
zmtgf5z2,Comportamento anomalo durante gestione clienti,"Durante la lavorazione di un ordine con quantità elevate, alcune informazioni vengono visualizzate in modo non corretto e compromettono la procedura.",Tecnico,bassa
6b8la30v,Richiesta di supporto per distinta di produzione,Potete fornirmi qualche informazione su come utilizzare un ordine ricevuto dal sito?,Tecnico,bassa
n78w90fj,Richiesta preventivo per agende personalizzate,"Vorrei ricevere una quotazione per 200 shopper con stampa a colori, indicando anche i costi della personalizzazione.",Commerciale,media
0ip9g66m,Richiesta rimborso per servizio premium,Chiediamo di valutare il recupero della cifra versata per la fattura n. 567.,Amministrazione,media
e3xumf5u,Stato acquisto articoli per eventi,Non abbiamo ancora ricevuto aggiornamenti riguardo a un lotto di portachiavi con incisione.,Commerciale,media
gwwkt189,Disguido con richiesta cliente penne promozionali,Abbiamo bisogno di risolvere una criticità nella richiesta riguardante 200 shopper con stampa a colori per evitare ritardi nella fornitura.,Commerciale,alta
svjycb93,Pagamento prestazione professionale in sospeso,La somma destinata alla transazione del 15/10 non è ancora stata contabilizzata e chiediamo un riscontro.,Amministrazione,alta
9wun5uns,Richiesta preventivo per tazze personalizzate,Potete preparare un'offerta relativa a gadget personalizzati con grafica fornita dal cliente? Stiamo valutando diverse alternative.,Commerciale,media
944qq69p,Comportamento anomalo durante configuratore gadget,"Durante la gestione di una serie di articoli con la stessa grafica, il gestionale restituisce un risultato diverso da quello previsto e impedisce di completare correttamente l'operazione.",Tecnico,alta
